# h	lambda
1.000000	0.000000
0.990000	0.120000
0.980000	0.160000
0.970000	0.190000
0.960000	0.220000
0.950000	0.240000
0.940000	0.260000
0.930000	0.280000
0.890000	0.340000
0.850000	0.400000
0.810000	0.450000
0.770000	0.500000
0.730000	0.540000
0.690000	0.580000
0.650000	0.620000
0.610000	0.660000
0.560000	0.700000
0.520000	0.740000
0.470000	0.780000
0.420000	0.820000
0.380000	0.860000
0.330000	0.900000
0.280000	0.940000
0.230000	0.980000
0.180000	1.020000
0.130000	1.060000
0.080000	1.100000
0.030000	1.140000
-0.020000	1.180000
-0.070000	1.220000
-0.120000	1.260000
-0.170000	1.300000
-0.220000	1.340000
-0.280000	1.380000
-0.330000	1.420000
-0.380000	1.460000
-0.430000	1.500000
-0.480000	1.540000
-0.530000	1.580000
-0.580000	1.620000
-0.640000	1.660000
-0.690000	1.700000
-0.740000	1.740000
-0.790000	1.780000
-0.840000	1.820000
-0.890000	1.860000
-0.950000	1.900000
-1.000000	1.940000
-1.050000	1.980000
-1.060000	1.990000
