# h	lambda
-2.000000	0.000000
-1.990000	0.010000
-1.980000	0.030000
-1.960000	0.040000
-1.940000	0.050000
-1.920000	0.060000
-1.890000	0.070000
-1.870000	0.080000
-1.840000	0.090000
-1.800000	0.100000
-1.760000	0.110000
-1.720000	0.120000
-1.680000	0.130000
-1.630000	0.140000
-1.590000	0.150000
-1.530000	0.160000
-1.480000	0.170000
-1.430000	0.180000
-1.370000	0.190000
-1.300000	0.200000
-1.230000	0.210000
-1.160000	0.220000
-1.090000	0.230000
-1.010000	0.240000
-0.920000	0.250000
-0.840000	0.260000
-0.750000	0.270000
-0.630000	0.280000
-0.500000	0.290000
-0.350000	0.300000
-0.040000	0.310000
0.260000	0.300000
0.420000	0.290000
0.520000	0.280000
0.590000	0.270000
0.640000	0.260000
0.690000	0.250000
0.750000	0.230000
0.800000	0.210000
0.840000	0.180000
0.870000	0.150000
0.910000	0.110000
0.950000	0.060000
0.970000	0.040000
1.000000	0.000000
