L	lambda	Energy_Gap
169	1.522	0.094421135
169	1.524	0.0919388204
169	1.526	0.0895116648
169	1.528	0.0871427341
169	1.53	0.0848352566
169	1.532	0.082592623
169	1.534	0.0804183842
169	1.536	0.0783162448
169	1.538	0.0762900533
169	1.54	0.0743437865
169	1.542	0.0724815276
169	1.544	0.0707074377
169	1.546	0.0690257193
169	1.548	0.0674405705
169	1.55	0.0659561312
169	1.552	0.0645764195
169	1.554	0.0633052604
169	1.556	0.0621462074
169	1.558	0.0611024593
169	1.56	0.0601767759
169	1.562	0.0593713948
169	1.564	0.0586879564
169	1.566	0.0581274383
169	1.568	0.0576901065
169	1.57	0.0573754855
169	1.572	0.0571823501
169	1.574	0.0571087405
169	1.576	0.0571520005
169	1.578	0.0573088357
169	1.58	0.0575753895
169	1.582	0.0579473306
169	1.584	0.0584199499
169	1.586	0.0589882587
169	1.588	0.0596470851
169	1.59	0.0603911656
169	1.592	0.0612152265
169	1.594	0.0621140563
169	1.596	0.0630825651
169	1.598	0.0641158328
169	1.6	0.0652091466
169	1.602	0.0663580267
169	1.604	0.0675582443
169	1.606	0.0688058303
169	1.608	0.070097079
169	1.61	0.071428545
169	1.612	0.0727970372
169	1.614	0.0741996093
169	1.616	0.0756335479
169	1.618	0.0770963603
169	1.62	0.0785857599
193	1.522	0.0875532923
193	1.524	0.0849583732
193	1.526	0.0824199198
193	1.528	0.0799415467
193	1.53	0.0775271046
193	1.532	0.0751806875
193	1.534	0.0729066351
193	1.536	0.0707095319
193	1.538	0.0685941993
193	1.54	0.0665656796
193	1.542	0.0646292109
193	1.544	0.0627901892
193	1.546	0.0610541164
193	1.548	0.059426532
193	1.55	0.0579129282
193	1.552	0.0565186461
193	1.554	0.0552487554
193	1.556	0.0541079202
193	1.558	0.0531002552
193	1.56	0.0522291797
193	1.562	0.051497278
193	1.564	0.0509061764
193	1.566	0.0504564477
193	1.568	0.050147551
193	1.57	0.0499778149
193	1.572	0.0499444662
193	1.574	0.0500437023
193	1.576	0.0502708039
193	1.578	0.0506202775
193	1.58	0.0510860166
193	1.582	0.0516614726
193	1.584	0.0523398218
193	1.586	0.0531141214
193	1.588	0.0539774482
193	1.59	0.0549230145
193	1.592	0.0559442619
193	1.594	0.0570349312
193	1.596	0.0581891118
193	1.598	0.0594012725
193	1.6	0.0606662764
193	1.602	0.0619793834
193	1.604	0.0633362433
193	1.606	0.0647328818
193	1.608	0.0661656812
193	1.61	0.0676313583
193	1.612	0.0691269409
193	1.614	0.0706497431
193	1.616	0.0721973411
193	1.618	0.07376755
193	1.62	0.0753584013
217	1.522	0.082313208
217	1.524	0.0796199618
217	1.526	0.07698372
217	1.528	0.0744085901
217	1.53	0.0718989974
217	1.532	0.0694597012
217	1.534	0.0670958069
217	1.536	0.0648127732
217	1.538	0.0626164115
217	1.54	0.0605128743
217	1.542	0.0585086285
217	1.544	0.0566104117
217	1.546	0.0548251632
217	1.548	0.0531599294
217	1.55	0.051621738
217	1.552	0.0502174392
217	1.554	0.0489535162
217	1.556	0.0478358692
217	1.558	0.0468695819
217	1.56	0.0460586864
217	1.562	0.0454059451
217	1.564	0.0449126696
217	1.566	0.0445785982
217	1.568	0.0444018468
217	1.57	0.044378943
217	1.572	0.0445049406
217	1.574	0.0447736055
217	1.576	0.0451776539
217	1.578	0.04570902
217	1.58	0.0463591315
217	1.582	0.0471191701
217	1.584	0.0479803049
217	1.586	0.048933886
217	1.588	0.0499715968
217	1.59	0.0510855644
217	1.592	0.0522684321
217	1.594	0.0535133999
217	1.596	0.0548142381
217	1.598	0.0561652822
217	1.6	0.0575614122
217	1.602	0.0589980229
217	1.604	0.060470988
217	1.606	0.0619766214
217	1.608	0.0635116375
217	1.61	0.0650731124
217	1.612	0.0666584467
217	1.614	0.0682653308
217	1.616	0.0698917128
217	1.618	0.0715357692
217	1.62	0.0731958788
241	1.522	0.0782084882
241	1.524	0.0754286867
241	1.526	0.0727058357
241	1.528	0.0700444751
241	1.53	0.067449548
241	1.532	0.0649264288
241	1.534	0.0624809488
241	1.536	0.0601194167
241	1.538	0.0578486301
241	1.54	0.0556758727
241	1.542	0.0536088935
241	1.544	0.0516558585
241	1.546	0.049825268
241	1.548	0.0481258314
241	1.55	0.0465662916
241	1.552	0.0451551939
241	1.554	0.0439006015
241	1.556	0.0428097648
241	1.558	0.0418887621
241	1.56	0.041142142
241	1.562	0.040572603
241	1.564	0.0401807501
241	1.566	0.0399649648
241	1.568	0.0399214113
241	1.57	0.0400441827
241	1.572	0.0403255733
241	1.574	0.0407564417
241	1.576	0.0413266247
241	1.578	0.0420253561
241	1.58	0.0428416567
241	1.582	0.0437646668
241	1.584	0.0447839096
241	1.586	0.045889483
241	1.588	0.047072184
241	1.59	0.0483235759
241	1.592	0.0496360107
241	1.594	0.0510026173
241	1.596	0.0524172671
241	1.598	0.0538745238
241	1.6	0.0553695863
241	1.602	0.0568982278
241	1.604	0.0584567353
241	1.606	0.0600418521
241	1.608	0.0616507233
241	1.61	0.0632808472
241	1.612	0.0649300304
241	1.614	0.0665963484
241	1.616	0.0682781109
241	1.618	0.0699738311
241	1.62	0.0716821988
