L	lambda	chi_F
169	1.52	71.2472353
169	1.522	74.2029305
169	1.524	77.3731245
169	1.526	80.77188
169	1.528	84.4127617
169	1.53	88.3076454
169	1.532	92.4659966
169	1.534	96.8934637
169	1.536	101.590794
169	1.538	106.55174
169	1.54	111.761546
169	1.542	117.194474
169	1.544	122.811827
169	1.546	128.55975
169	1.548	134.368241
169	1.55	140.149655
169	1.552	145.799159
169	1.554	151.196282
169	1.556	156.208131
169	1.558	160.694426
169	1.56	164.514246
169	1.562	167.534078
169	1.564	169.636623
169	1.566	170.729244
169	1.568	170.751441
169	1.57	169.679964
169	1.572	167.531173
169	1.574	164.360109
169	1.576	160.256426
169	1.578	155.337848
169	1.58	149.741783
169	1.582	143.616321
169	1.584	137.111488
169	1.586	130.371581
169	1.588	123.529123
169	1.59	116.700666
169	1.592	109.98442
169	1.594	103.459493
169	1.596	97.1864343
169	1.598	91.2086808
169	1.6	85.5545937
169	1.602	80.2397643
169	1.604	75.269367
169	1.606	70.6403756
169	1.608	66.3436064
169	1.61	62.3654239
169	1.612	58.6891916
169	1.614	55.2965007
169	1.616	52.1680616
169	1.618	49.2843874
193	1.52	85.0244091
193	1.522	88.8596161
193	1.524	93.0140481
193	1.526	97.5159845
193	1.528	102.393913
193	1.53	107.675813
193	1.532	113.387168
193	1.534	119.549766
193	1.536	126.177768
193	1.538	133.274428
193	1.54	140.828466
193	1.542	148.808456
193	1.544	157.157519
193	1.546	165.787996
193	1.548	174.576461
193	1.55	183.360691
193	1.552	191.939248
193	1.554	200.074571
193	1.556	207.501895
193	1.558	213.942096
193	1.56	219.120663
193	1.562	222.789131
193	1.564	224.747981
193	1.566	224.866624
193	1.568	223.097848
193	1.57	219.483884
193	1.572	214.15295
193	1.574	207.306922
193	1.576	199.202027
193	1.578	190.126112
193	1.58	180.375594
193	1.582	170.23517
193	1.584	159.962212
193	1.586	149.776559
193	1.588	139.855654
193	1.59	130.334102
193	1.592	121.306577
193	1.594	112.832672
193	1.596	104.942824
193	1.598	97.6443658
193	1.6	90.9271967
193	1.602	84.768898
193	1.604	79.1387974
193	1.606	74.0013329
193	1.608	69.3185865
193	1.61	65.052191
193	1.612	61.1646189
193	1.614	57.6200983
193	1.616	54.3851105
193	1.618	51.428758
217	1.52	98.8983431
217	1.522	103.653473
217	1.524	108.847793
217	1.526	114.528938
217	1.528	120.74698
217	1.53	127.554644
217	1.532	135.003867
217	1.534	143.142599
217	1.536	152.011466
217	1.538	161.636531
217	1.54	172.02136
217	1.542	183.13704
217	1.544	194.909927
217	1.546	207.209599
217	1.548	219.836222
217	1.55	232.511834
217	1.552	244.878033
217	1.554	256.502071
217	1.556	266.896494
217	1.558	275.551927
217	1.56	281.982274
217	1.562	285.776184
217	1.564	286.646921
217	1.566	284.471174
217	1.568	279.307828
217	1.57	271.392302
217	1.572	261.107894
217	1.574	248.939879
217	1.576	235.422343
217	1.578	221.087038
217	1.58	206.421859
217	1.582	191.842864
217	1.584	177.680383
217	1.586	164.177029
217	1.588	151.494355
217	1.59	139.724665
217	1.592	128.904846
217	1.594	119.030112
217	1.596	110.06638
217	1.598	101.960473
217	1.6	94.6483014
217	1.602	88.0609556
217	1.604	82.1288465
217	1.606	76.7846013
217	1.608	71.9649692
217	1.61	67.6116459
217	1.612	63.6717607
217	1.614	60.0978838
217	1.616	56.8478602
217	1.618	53.8844294
241	1.52	109.082492
241	1.522	118.523912
241	1.524	124.795075
241	1.526	131.708303
241	1.528	139.343226
241	1.53	147.784722
241	1.532	157.12156
241	1.534	167.44312
241	1.536	178.832096
241	1.538	191.355052
241	1.54	205.048442
241	1.542	219.901342
241	1.544	235.830921
241	1.546	252.658245
241	1.548	270.080633
241	1.55	287.6504
241	1.552	304.766948
241	1.554	320.688796
241	1.556	334.574887
241	1.558	345.559001
241	1.56	352.847871
241	1.562	355.831091
241	1.564	354.177048
241	1.566	347.891151
241	1.568	337.319828
241	1.57	323.098549
241	1.572	306.058271
241	1.574	287.113411
241	1.576	267.156714
241	1.578	246.978704
241	1.58	227.219793
241	1.582	208.353676
241	1.584	190.694715
241	1.586	174.420044
241	1.588	159.598369
241	1.59	146.219042
241	1.592	134.217912
241	1.594	123.498097
241	1.596	113.946335
241	1.598	105.443859
241	1.6	97.8740233
241	1.602	91.1268784
241	1.604	85.1015346
241	1.606	79.7075767
241	1.608	74.8647442
241	1.61	70.5027851
241	1.612	66.5606074
241	1.614	62.9852952
241	1.616	59.7312119
241	1.618	56.7590849
