M	lambda	O_AFM
16	1.52	0.448228575
16	1.53	0.426244346
16	1.54	0.391358666
16	1.545	0.359992966
16	1.546	0.350747218
16	1.547	0.339542092
16	1.548	0.325312049
16	1.549	0.305891884
16	1.55	0.276022467
16	1.551	0.218372487
16	1.552	0.0066673889
16	1.553	0.000748349646
16	1.554	0.000127865615
16	1.555	2.65578296e-05
16	1.56	2.37567973e-05
16	1.57	7.78671185e-07
16	1.58	1.62702305e-08
16	1.59	9.64403524e-09
16	1.6	6.0427976e-09
16	1.61	2.61959698e-09
32	1.52	0.448227019
32	1.53	0.426237202
32	1.54	0.39128939
32	1.545	0.359590043
32	1.546	0.350076633
32	1.547	0.338322954
32	1.548	0.322785298
32	1.549	0.29934053
32	1.55	0.248076381
32	1.551	7.70618555e-05
32	1.552	5.57879721e-06
32	1.553	9.0868503e-06
32	1.554	1.40365724e-06
32	1.555	7.43408762e-08
32	1.56	6.00181146e-09
32	1.57	4.98211133e-08
32	1.58	1.33237062e-08
32	1.59	4.87913782e-09
32	1.6	3.70664244e-09
32	1.61	7.58986779e-09
64	1.52	0.448227015
64	1.53	0.426237178
64	1.54	0.391288844
64	1.545	0.359582411
64	1.546	0.350060502
64	1.547	0.338283885
64	1.548	0.322664182
64	1.549	0.298778663
64	1.55	0.237153523
64	1.551	5.78456487e-05
64	1.552	2.98666479e-07
64	1.553	3.78779516e-06
64	1.554	1.57285086e-06
64	1.555	2.78611011e-07
64	1.56	2.04561712e-07
64	1.57	3.13941625e-08
64	1.58	1.24502814e-09
64	1.59	7.985545e-09
64	1.6	3.23156041e-09
64	1.61	2.90255892e-09
128	1.52	0.448227016
128	1.53	0.426237178
128	1.54	0.391288846
128	1.545	0.359582352
128	1.546	0.350060368
128	1.547	0.338283444
128	1.548	0.322662481
128	1.549	0.298764697
128	1.55	0.235622482
128	1.551	4.80640453e-05
128	1.552	1.73215076e-06
128	1.553	2.04827756e-07
128	1.554	1.38712108e-07
128	1.555	2.83976291e-07
128	1.56	7.99260682e-08
128	1.57	9.26830159e-08
128	1.58	4.17128889e-08
128	1.59	9.37212125e-09
128	1.6	8.84117479e-09
128	1.61	1.01611208e-09
256	1.52	0.448227016
256	1.53	0.426237178
256	1.54	0.391288842
256	1.545	0.359582353
256	1.546	0.350060369
256	1.547	0.338283444
256	1.548	0.322662472
256	1.549	0.298764472
256	1.55	0.23553388
256	1.551	6.71655713e-06
256	1.552	1.52266806e-06
256	1.553	2.83072654e-07
256	1.554	6.80159603e-07
256	1.555	5.22559203e-07
256	1.56	2.67816254e-08
256	1.57	9.72498881e-09
256	1.58	2.91798491e-09
256	1.59	5.45185119e-10
256	1.6	1.24038337e-08
256	1.61	5.04373421e-09
