lambda	central_charge	error_bar
0.01	0.9968751235805021	0.0016522009272310913
0.02	0.9969440297487436	0.0016585920781072426
0.03	0.9970604477559876	0.0016691280185605459
0.04	0.9972267272695977	0.001684302457610864
0.05	0.9974454191495823	0.0017043822774548076
0.06	0.9977069398224381	0.0017272066916578957
0.07	0.9978963799228896	0.0017342129476714356
0.08	0.9981892752612249	0.0017547265768215628
0.09	0.9985995738142479	0.0017876981958971983
0.1	0.9990828689147735	0.0018295178781890088
0.11	0.999619717398518	0.0018842453350778185
0.12	1.0001777452587055	0.001960518192819623
0.13	1.0006480941326237	0.0020755328247831157
0.14	1.000635022322789	0.002307479062914288
0.15	1.0005056532687533	0.0025976838514860773
0.16	0.9999155825445447	0.002797391038766937
0.17	0.9982430047849793	0.002842148784907856
0.18	0.9944689029208676	0.002749760602808985
0.19	0.9862804435692688	0.0021569687152917087
0.2	0.9704967480873417	0.0017926266686048528
0.21	0.9390615070147543	0.005744223620428574
0.22	0.8810717890966868	0.01616106070204355
0.23	0.7861305523106632	0.03411875927226759
0.24	0.6684546197057283	0.051934695221108156
0.25	0.5498358669754446	0.06308038310476097
0.26	0.4396716747419093	0.06593032547311983
0.27	0.3446187369505005	0.061935555451340635
0.28	0.2646430192695432	0.054503406634235176
0.29	0.2016392478801004	0.045832608613220124
0.3	0.14986189843116207	0.0361942965868141
0.31	0.1082486247422463	0.02792634720351926
0.32	0.07741225322593591	0.021457561158822813
0.33	0.05364922359338567	0.015538532003190976
0.34	0.03632074693792616	0.010734682432747618
0.35	0.02433486810928093	0.007297937141900134
0.36	0.01621156244786357	0.004943597099052877
0.37	0.010801782918083123	0.003336563728718922
0.38	0.007192581916380295	0.0022493857471776782
0.39	0.004948593372878535	0.0014235353151981437
0.4	0.003334982229734724	0.0009533912089248804
0.41	0.0022556193622318543	0.0006434713926434942
0.42	0.001533417100769368	0.00043648478460509704
0.43	0.001048509942508862	0.00029790246214347194
0.44	0.0007212063150451202	0.00020450503175404504
0.45	0.0004983335018055683	0.00014169349769933232
0.46	0.0003469801861985545	9.794901417970588e-05
0.47	0.000245427773816254	6.797828956822914e-05
0.48	0.00017355665565511912	4.7734219365973405e-05
0.49	0.0001238489319786279	3.3723150440287244e-05
0.5	8.84753961447397e-05	2.4130521034545947e-05
