M	lambda	SvN	d_SvN
16	0.01	1.00692229	0.030372000000000732
16	0.02	1.00661857	0.04067849999999851
16	0.03	1.00610872	0.06157250000000403
16	0.04	1.00538712	0.08316250000000025
16	0.05	1.00444547	0.1057364999999919
16	0.06	1.00327239	0.12963100000000338
16	0.07	1.00185285	0.1552520000000044
16	0.08	1.00016735	0.18309335000000004
16	0.09	0.998190983	0.21376460000000463
16	0.1	0.995892058	0.24802539999999595
16	0.11	0.993230475	0.28682455000000573
16	0.12	0.990155567	0.3313558000000043
16	0.13	0.986603359	0.38312414999999334
16	0.14	0.982493084	0.44402959999999325
16	0.15	0.977722767	0.5164668999999975
16	0.16	0.972163746	0.6034375999999995
16	0.17	0.965654015	0.7086582000000021
16	0.18	0.957990582	0.8366261000000108
16	0.19	0.948921493	0.9925648000000038
16	0.2	0.938139286	1.1820995499999967
16	0.21	0.925279502	1.4104256999999976
16	0.22	0.909930772	1.6806587499999992
16	0.23	0.891666327	1.9911427500000087
16	0.24	0.870107917	2.3319873499999986
16	0.25	0.84502658	2.6821992999999935
16	0.26	0.816463931	3.0099969499999943
16	0.27	0.784826641	3.278645900000001
16	0.28	0.750891013	3.452963100000005
16	0.29	0.715767379	3.514553250000013
16	0.3	0.680599948	3.487352449999996
16	0.31	0.64602033	3.394428049999995
16	0.32	0.612711387	3.2507419499999983
16	0.33	0.581005491	3.0786347999999997
16	0.34	0.551138691	2.89141025
16	0.35	0.523177286	2.701098750000007
16	0.36	0.497116716	2.5149310500000013
16	0.37	0.472878665	2.338726900000001
16	0.38	0.450342178	2.1754690499999967
16	0.39	0.429369284	2.026073399999998
16	0.4	0.40982071	1.8902526500000008
16	0.41	0.391564231	1.7671138000000042
16	0.42	0.374478434	1.6555183999999983
16	0.43	0.358453863	1.554281549999999
16	0.44	0.343392803	1.4622721999999975
16	0.45	0.329208419	1.3784574999999997
16	0.46	0.315823653	1.3019166999999996
16	0.47	0.303170085	1.2318394000000037
16	0.48	0.291186865	1.167517049999999
16	0.49	0.279819744	1.1083317499999996
16	0.5	0.26902023	1.0799513999999946
32	0.01	1.16341336	0.029411000000001408
32	0.02	1.16311925	0.039423999999996795
32	0.03	1.16262488	0.05977699999999686
32	0.04	1.16192371	0.08093850000000913
32	0.05	1.16100611	0.10324699999998899
32	0.06	1.15985877	0.12710400000000277
32	0.07	1.15846403	0.15300099999999617
32	0.08	1.15679875	0.18155500000000302
32	0.09	1.15483293	0.2135445000000047
32	0.1	1.15252786	0.2499739999999946
32	0.11	1.14983345	0.29215099999999694
32	0.12	1.14668484	0.3417935000000085
32	0.13	1.14299758	0.4011845000000065
32	0.14	1.13866115	0.4733850000000004
32	0.15	1.13352988	0.5625290000000049
32	0.16	1.12741057	0.6742239999999953
32	0.17	1.1200454	0.8160839999999965
32	0.18	1.11108889	0.9983505000000008
32	0.19	1.10007839	1.2344600000000057
32	0.2	1.08639969	1.541058999999997
32	0.21	1.06925721	1.936256499999999
32	0.22	1.04767456	2.433795500000002
32	0.23	1.0205813	3.0302812500000016
32	0.24	0.987068935	3.686187099999991
32	0.25	0.946857558	4.3133035000000035
32	0.26	0.900802865	4.793037549999994
32	0.27	0.850996807	5.033388149999986
32	0.28	0.800135102	4.999643900000002
32	0.29	0.751003929	4.766247300000018
32	0.3	0.704810156	4.447838999999995
32	0.31	0.662047149	4.092079399999996
32	0.32	0.622968568	3.731342049999995
32	0.33	0.587420308	3.394436549999998
32	0.34	0.555079837	3.09183045
32	0.35	0.525583699	2.824695450000007
32	0.36	0.498585928	2.590239199999999
32	0.37	0.473778915	2.3844406000000014
32	0.38	0.450897116	2.2031977000000005
32	0.39	0.429714961	2.042992199999997
32	0.4	0.410037272	1.9006930499999974
32	0.41	0.3917011	1.7735770000000102
32	0.42	0.374565732	1.6595518499999997
32	0.43	0.358510063	1.5568205499999976
32	0.44	0.343429321	1.4638848999999965
32	0.45	0.329232365	1.379490999999998
32	0.46	0.315839501	1.3025846999999988
32	0.47	0.303180671	1.2322750000000067
32	0.48	0.291194001	1.1678035500000004
32	0.49	0.2798246	1.1085217999999966
32	0.5	0.269023565	1.080103499999995
64	0.01	1.31137018	0.028735999999995876
