lambda	rx	rz	theta_pi
10.0	-0.198019802	0.9801980199	0.06345103470354375
9.54992586	-0.207154308	0.9783082814999999	0.0664202177921274
9.12010839	-0.216690448	0.9762403645	0.06952622863553601
8.7096359	-0.226642988	0.9739779036	0.07277505835196971
8.31763771	-0.237026808	0.97150311	0.07617292381522334
7.94328235	-0.247856816	0.9687966758	0.07972625404137434
7.58577575	-0.259147874	0.9658376565	0.083441700544231
7.2443596	-0.27091468	0.9626033639	0.08732612710076673
6.91830971	-0.28317166	0.9590692421	0.09138661577403794
6.60693448	-0.29593282	0.9552087555	0.09563045395115143
6.30957344	-0.309211594	0.9509932644	0.10006513352437044
6.02559586	-0.323020654	0.9463919156	0.10469833265831432
5.75439937	-0.337371704	0.9413715176999999	0.10953791472649121
5.49540874	-0.352275242	0.9358964439999999	0.11459190209714687
5.2480746	-0.3677403	0.9299285302	0.11986846169738988
5.01187234	-0.38377414	0.9234269921	0.1253758800886876
4.78630092	-0.400381922	0.91634836	0.13112253560693435
4.5708819	-0.417566344	0.9086464379999999	0.13711686451391872
4.36515832	-0.435327232	0.9002722921999999	0.1433673225308262
4.16869383	-0.453661112	0.8911742796	0.14988233766180775
3.98107171	-0.47256072	0.8812981139	0.15667026241323756
3.80189396	-0.49201451	0.8705869980000001	0.1637393096858082
3.63078055	-0.512006106	0.8589818084	0.17109748942405126
3.4673685	-0.532513738	0.8464213602999999	0.17875253232649022
3.31131121	-0.553509662	0.8328427541000001	0.18671180721509384
3.16227766	-0.574959574	0.8181818181	0.19498222908743296
3.01995172	-0.59682201	0.8023736581	0.20357015782515658
2.8840315	-0.619047788	0.78535332	0.21248128967619123
2.7542287	-0.641579464	0.7670565760000001	0.22172054035578997
2.63026799	-0.664350874	0.7474208419999999	0.2312919196555478
2.51188643	-0.687286734	0.7263862219999999	0.24119840199319495
2.39883292	-0.710302364	0.703896692	0.251441787476487
2.29086765	-0.733303554	0.6799013899999999	0.26202256782775707
2.18776162	-0.756186604	0.6543560340000001	0.27293978298851845
2.08929613	-0.778838574	0.6272244220000001	0.28419088332941883
1.99526231	-0.80113776	0.598479982	0.295771601300085
1.90546072	-0.822954446	0.568107368	0.30767582254077736
1.81970086	-0.844151938	0.536104006	0.31989548112518357
1.73780083	-0.86458791	0.502481588	0.3324204622185102
1.65958691	-0.88411604	0.467267404	0.34523853601548615
1.58489319	-0.902587952	0.430505502	0.35833530642129513
1.51356125	-0.919855436	0.39225753999999996	0.37169420413170107
1.44543977	-0.935772882	0.352603338	0.38529650104538454
1.38038426	-0.950199916	0.311641012	0.3991213702610298
1.31825674	-0.96300412	0.26948667000000004	0.41314598323618174
1.25892541	-0.974063776	0.22627364000000005	0.4273456440135335
1.20226443	-0.983270534	0.18215119200000002	0.4416939677975868
1.14815362	-0.990531896	0.137282784	0.45616309433223423
1.0964782	-0.995773422	0.09184384599999995	0.470723938346676
1.04712855	-0.998940556	0.046019173999999996	0.4853464667331719
1.0	-1.0	0.0	0.5
0.954992586	-0.998940556	-0.046019173999999996	0.5146535332668281
0.912010839	-0.995773422	-0.09184384599999995	0.5292760616533241
0.87096359	-0.990531896	-0.137282784	0.5438369056677659
0.831763771	-0.983270534	-0.18215119200000002	0.5583060322024133
0.794328235	-0.974063776	-0.22627364000000005	0.5726543559864665
0.758577575	-0.96300412	-0.26948667000000004	0.5868540167638183
0.72443596	-0.950199916	-0.311641012	0.6008786297389703
0.691830971	-0.935772882	-0.352603338	0.6147034989546155
0.660693448	-0.919855436	-0.39225753999999996	0.628305795868299
0.630957344	-0.902587952	-0.430505502	0.641664693578705
0.602559586	-0.88411604	-0.467267404	0.6547614639845138
0.575439937	-0.86458791	-0.502481588	0.6675795377814899
0.549540874	-0.844151938	-0.536104006	0.6801045188748166
0.52480746	-0.822954446	-0.568107368	0.6923241774592227
0.501187234	-0.80113776	-0.598479982	0.704228398699915
0.478630092	-0.778838574	-0.6272244220000001	0.7158091166705812
0.45708819	-0.756186604	-0.6543560340000001	0.7270602170114816
0.436515832	-0.733303554	-0.6799013899999999	0.7379774321722429
0.416869383	-0.710302364	-0.703896692	0.7485582125235131
0.398107171	-0.687286734	-0.7263862219999999	0.7588015980068051
0.380189396	-0.664350876	-0.7474208419999999	0.7687080803444521
0.363078055	-0.641579464	-0.7670565760000001	0.7782794596442101
0.34673685	-0.619047788	-0.78535332	0.7875187103238089
0.331131121	-0.596822012	-0.8023736579	0.7964298420681751
0.316227766	-0.574959576	-0.8181818165	0.805017770026773
0.301995172	-0.553509668	-0.8328427505	0.8132881907146341
0.28840315	-0.532513748	-0.8464213536	0.8212474636685875
0.27542287	-0.512006138	-0.8589817900000001	0.828902499136824
0.263026799	-0.492014588	-0.8705869541	0.8362606619129911
0.251188643	-0.472560888	-0.8812980241999999	0.8433296771661847
0.239883292	-0.45366147	-0.8911740963	0.850117533726377
0.229086765	-0.435327976	-0.9002719336	0.8566324152622196
0.218776162	-0.41756777	-0.9086457821	0.8628826354958378
0.208929613	-0.40038454	-0.9163472158	0.868876554739155
0.199526231	-0.383778672	-0.9234251081	0.8746225572935595
0.190546072	-0.367748006	-0.9299254825000001	0.8801289002918373
0.181970086	-0.352287786	-0.935891722	0.8854038312603494
0.173780083	-0.337391472	-0.9413644322	0.8904554003067483
0.165958691	-0.323051648	-0.946381336	0.8952912425292582
0.158489319	-0.309255818	-0.9509788844	0.8999200644147487
0.151356125	-0.295998764	-0.9551883221999999	0.9043475701260735
0.144543977	-0.283263108	-0.9590422364	0.9085830323416323
0.138038426	-0.271042298	-0.9625674381	0.9126316719948614
0.131825674	-0.259318906	-0.9657917501	0.91650193148226
0.125892541	-0.24807366	-0.9687411722	0.9202024966792842
0.120226443	-0.237295308	-0.9714375619	0.9237390996496602
0.114815362	-0.226979196	-0.9738996064000001	0.9271150582543672
0.10964782	-0.217096362	-0.9761501777999999	0.9303414145612252
0.104712855	-0.207635308	-0.9782063064	0.9334232706629071
0.1	-0.1985875492	-0.98008315212	0.9363645836966831
