L	lambda	concurrence
12.0	1.5	0.0242450902
12.0	1.51	0.0238884304
12.0	1.52	0.0235251458
12.0	1.53	0.0229003338
12.0	1.54	0.0225441861
12.0	1.55	0.022182642
12.0	1.56	0.0218156948
12.0	1.57	0.0214433346
12.0	1.58	0.0210655485
12.0	1.59	0.0206823207
12.0	1.6	0.0202936321
12.0	1.61	0.0198994611
12.0	1.62	0.0194997828
12.0	1.63	0.0190945697
12.0	1.64	0.0186837916
12.0	1.65	0.0182674153
12.0	1.66	0.0178454051
12.0	1.67	0.0174177227
12.0	1.68	0.0169843271
12.0	1.69	0.0165451749
12.0	1.7	0.0161002202
12.0	1.71	0.0156494146
12.0	1.72	0.0151927076
12.0	1.73	0.0147300462
12.0	1.74	0.0142613754
12.0	1.75	0.0137866379
12.0	1.76	0.0133057744
12.0	1.77	0.0128187235
12.0	1.78	0.0123254221
12.0	1.79	0.011825805
12.0	1.8	0.0113198053
12.0	1.81	0.0108073544
12.0	1.82	0.0102883821
12.0	1.83	0.0097628165
12.0	1.84	0.00923058439
12.0	1.85	0.00869161105
12.0	1.86	0.00791524126
12.0	1.87	0.00738305935
12.0	1.88	0.00684810438
12.0	1.89	0.00631049702
12.0	1.9	0.0057703578
12.0	1.91	0.00522780709
12.0	1.92	0.00468296499
12.0	1.93	0.0041359513
12.0	1.94	0.00358688543
12.0	1.95	0.00303588633
12.0	1.96	0.00248307244
12.0	1.97	0.00192856163
12.0	1.98	0.00137247113
12.0	1.99	0.000814917464
12.0	2.0	4.03223884e-05
12.0	2.01	0.000913771302
12.0	2.02	0.00157969617
12.0	2.03	0.00225384206
12.0	2.04	0.00293629232
12.0	2.05	0.00362712964
12.0	2.06	0.004326436
12.0	2.07	0.00503429246
12.0	2.08	0.00575077909
12.0	2.09	0.00647597485
12.0	2.1	0.0072099574
12.0	2.11	0.00795280302
12.0	2.12	0.00870458644
12.0	2.13	0.00946538073
12.0	2.14	0.0102352571
12.0	2.15	0.011014285
12.0	2.16	0.0118025314
12.0	2.17	0.0126000615
12.0	2.18	0.0134069377
12.0	2.19	0.0142232201
12.0	2.2	0.0150489661
